Response ID,BATMAN,SUPERMAN,CAPTAIN AMERICA,WONDER WOMAN,CAPTAIN MARVEL,CATWOMAN,STORM,GREEN LANTERN,BLACK PANTHER,HAWK GIRL,SHE-HULK,IRON MAN
R_56f4234GSX8izV7,,,,,,,,,,,,
R_2aK0ENuWdDdKxp2,,,,,,,,,,,,
R_4Pfp0SYxuxnO3HX,,,,,,,,,,,,
R_3HzsnZ6evOca8Nb,,,,,,,,,,,,
R_UsSVvTAAZYYzKq5,,,,,,,,,,,,
R_z87xqxuvMcDl5Dz,,,,,,,,,,,,
R_27EuNS4oOwFIzl2,,,,,,,,,,,,
R_3symm0AFFPB4lMP,,,,,,,,,,,,
R_sHWWf9YjfuF4XeN,,,,,,,,,,,,
R_4UAgJBsOZdI9epj,,,,,,,,,,,,
R_20T1qN84AER35jb,,,,,,,,,,,,
R_1g5bIwqjg60igal,,,,,,,,,,,,
R_rqCexfkZUnwGNdT,,,,,,,,,,,,
R_2EiAylB5NDpEOEf,,,,,,,,,,,,
R_1DOncUOnWOcQKYb,,,,,,,,,,,,
R_27TGGy1t2Rg0Ifd,,,,,,,,,,,,
R_1puHQz8jOCrRWyp,,,,,,,,,,,,
R_3hfF9G5YXbbeh10,,,,,,,,,,,,
R_3PXN4ggEoLHqD16,,,,,,,,,,,,
R_3D0FYJ78qwh3Snv,,,,,,,,,,,,
R_11aOFNOis4feUPy,,,,,,,,,,,,
R_2U63mfcTUlW4qaM,,,,,,,,,,,,
R_1Q9sKIjDvBb8Z0D,,,,,,,,,,,,
R_12aI4D40pNKpsUA,,,,,,,,,,,,
R_2YJo36tesibWcKm,,,,,,,,,,,,
R_1oIwVRGb3X92Qfn,,,,,,,,,,,,
R_1Pc7yZ9IT87XEZX,,,,,,,,,,,,
R_21v1RetZ9LRvVdq,,,,,,,,,,,,
R_3hlHAHd1UXXixlM,,,,,,,,,,,,
R_pireF5IRn7Rc1FL,,,,,,,,,,,,
R_3MQGwOUgPqShIaO,,,,,,,,,,,,
R_3Gk4052Ye6e1zem,,,,,,,,,,,,
R_1gjRu4AaxE5qtgU,,,,,,,,,,,,
R_22LGNgGIx4uVUry,,,,,,,,,,,,
R_dpChiX1ZC4vTVEB,5,4,10,1,2,6,9,7,3,11,12,8
R_3GqyCC0XgPC5Liu,,,,5,3,1,,,2,,4,
R_3qHYSmD3LVYO29w,2,6,1,4,9,7,10,11,5,12,8,3
R_324pWVIXmuBkP97,8,1,5,3,4,7,9,10,2,11,12,6
R_1me2lnyffogO978,4,6,1,8,5,9,10,7,3,11,12,2
R_2SeKZQsF0YZPhpJ,6,8,3,4,7,12,5,10,1,11,9,2
R_24uS6PEWoNxyv9B,9,8,3,4,1,7,6,12,5,11,10,2
R_1IBhT7MPXHEWqZ1,4,1,3,2,11,12,10,9,6,7,5,8
R_R9AyEoVTo1cIASd,6,7,2,5,4,8,11,10,3,9,12,1
R_2D0LcRx1JJ6I3OJ,8,2,5,3,6,10,4,11,7,12,9,1
R_wMIciHrIfijnvkB,4,7,3,8,12,2,11,1,10,9,6,5
R_2f2rlr2isl9Jpv3,5,4,3,6,11,7,8,12,1,10,9,2
R_31us9BicN3vQvIN,,,,,,1,,,,,,
R_3J9K7HkzU28MO61,,,,,,,,,,,,
R_2bZuhbddGUurwSQ,,,,,,,,,,,,
R_1FzIM0KSxuXEuik,,,,,,,,,,,,
R_1P6EQDQ0pI5GSHo,,,,,,,,,,,,
R_3J1SjzPl29BG4YT,,,,,,,,,,,,
R_dd5fzpo9SqOXkWd,,,,,,,,,,,,
R_3QKsCZR8E15DZXT,,,,,,,,,,,,
R_265XlrkvSFbmwLT,10,8,7,2,5,3,4,6,1,12,11,9
R_3k57zkpzb21NdyP,3,2,5,6,11,12,9,7,4,10,8,1
R_2frE2mrk8sb9dAl,12,4,2,6,8,1,3,11,9,5,10,7
R_1gzNsg4wEde0xua,7,5,3,8,9,10,6,12,2,11,4,1
R_OJ800H6hvG5dSzT,,4,1,3,,,5,,,,,2
R_rd8WozBMmtIWzJL,2,3,9,5,4,12,10,8,6,7,11,1
R_yyJM8nKqTa7jvHP,9,8,3,7,4,11,5,2,1,10,12,6
R_REn5UweGWbJfDCF,8,11,10,4,3,5,1,12,7,6,2,9
R_ZEKHwJZipo69GTv,8,9,7,2,3,5,12,11,1,10,6,4
R_2ya3X5K6EFWQRTR,8,3,2,6,10,4,12,7,5,11,9,1
R_1K8aoEDSVKC2pDp,1,11,9,2,12,6,7,3,10,5,8,4
R_3jVQvKu22COQQOw,5,4,6,3,9,7,10,11,2,12,8,1
R_1DSYdFcFcUhwqDj,2,4,1,6,7,3,11,8,5,10,12,9
R_2PtWpbF6Rd7rgVu,1,12,9,7,10,2,5,3,4,8,11,6
R_32USp60sG4ynqSt,7,6,12,11,2,5,9,3,4,8,10,1
R_1jdNbGYzaS5sgvI,6,12,1,3,4,5,10,11,2,8,9,7
R_2xVHUOAqdRUA0ep,3,6,7,1,,4,,2,,,,5
R_1E6bZWPMpaECfPQ,1,4,5,7,11,9,8,6,3,10,,2
R_WdMDcSmi6oFQIdH,5,10,2,7,3,8,12,11,4,6,9,1
R_3hb9HHgoZ3tpgiX,8,5,2,1,3,11,4,9,6,12,10,7
R_2zZqJzN5vHnRoUU,1,3,4,7,6,8,12,11,5,9,10,2
R_2UYjhfgWVLcx5Et,1,4,5,9,11,2,10,3,6,12,8,7
R_2B9h6HVIjXCD0Ve,12,4,7,5,3,8,6,10,1,11,9,2
R_RsGHOsHAfhj3ty9,,4,2,,,,1,3,,,,
R_2qCTXzN62ltnHnm,,,2,,,,,,3,,,1
R_3EBbYXqFZDFLO1J,1,9,4,5,11,6,7,8,3,12,10,2
R_eKwLmOuFGDuaSc1,1,6,5,9,7,4,8,11,3,12,10,2
R_1roZf0mUsgjFtP9,1,5,4,3,7,11,10,6,8,9,12,2
R_cNQkS4hkO79Qw9P,8,7,5,2,3,10,9,11,4,12,6,1
R_3EnxpvhuYB7TKyL,1,6,4,3,9,5,7,11,8,10,12,2
R_3EgKvLPBznLfELn,,,,,,,1,,,,,
R_1KwezWhaB0cObB4,1,5,4,8,9,6,10,7,3,12,11,2
R_1q36v4oAkMpQgBt,11,5,9,7,1,3,8,6,10,4,2,12
R_1guAjPzVgsXxNrA,4,5,1,6,8,11,10,12,3,7,9,2
R_1otgWJJZMnrgEfW,7,12,5,4,8,10,3,2,1,11,9,6
R_DVjmVgWqdPpKq8p,12,3,4,1,7,8,6,11,2,9,10,5
R_3CTuyPIZ9IGYq3O,5,,2,,4,,,,3,,,1
R_2azUOLFYEVUIjJO,1,6,2,4,12,8,11,3,5,9,10,7
R_sAvJbQyqsXhjvk5,4,5,3,11,12,8,7,6,1,9,10,2
R_2dT259ZCq6DgLFQ,1,8,5,3,4,9,7,10,6,,,2
R_2alyWv5j6oDNojn,2,4,7,9,12,6,5,3,8,11,10,1
R_UGDDw2GXDfZxBrH,12,7,6,8,9,11,4,3,2,10,5,1
R_2rAz9SFFgydiCAN,1,4,3,7,12,8,9,5,6,11,10,2
R_3NCgbJDG4KTffYe,4,5,1,6,11,9,7,8,3,12,10,2
R_3pfru2DWUCM3IcF,2,5,6,8,11,4,9,7,3,12,10,1
R_1dKBu8DRFOXU795,9,11,12,1,6,2,5,7,8,3,4,10
R_eEsS7wQPXNruA8h,3,2,6,1,9,7,10,4,5,12,8,11
R_31TreIfEXSshG6W,5,1,3,11,10,2,8,6,9,12,7,4
R_4VAWmqpsQN4HwFX,4,3,2,7,11,10,6,5,9,12,8,1
R_1CBK0ongX6D4SVZ,3,,,2,,,4,,1,,,
R_3KoNsSALDcdX7K1,1,4,2,8,10,12,5,3,7,11,9,6
R_3jVDmFY6wPejDSv,6,2,5,8,7,11,9,3,4,10,12,1
R_2xPKfhWON9rIu40,1,4,7,6,,,,5,3,,,2
R_1H7R366h4PscrzE,4,5,2,6,10,11,9,8,1,7,12,3
R_3MANpTWX3e8vogs,1,5,4,8,9,10,7,6,2,12,11,3
R_21cDLVJ870VQpku,2,5,3,9,4,7,10,12,6,11,8,1
R_6uqEXu2IngUgIRH,5,3,10,11,2,1,8,7,6,12,9,4
R_2YhMU8Mp04XTU4x,1,5,4,3,10,8,12,2,7,9,11,6
R_1JDPTBpGkXKXcds,5,6,7,4,1,11,9,8,3,12,10,2
R_WqhkLq0UdvWpmk9,4,2,7,5,12,6,9,11,3,10,8,1
R_3s62XJnAYhUG8gz,3,9,5,6,7,8,,4,1,,,2
R_3D1mzlsaKX7bDEX,2,,,,,,,,,,,1
R_24l2Uo5Gf0hrW9R,10,12,8,3,2,6,1,11,9,5,4,7
R_3QJF2qAAjFRErSj,5,4,1,9,6,11,7,8,3,12,10,2
R_brwakHSpvefPv4B,1,6,10,5,8,4,3,9,7,11,12,2
R_1FmLv9jSaOkNk57,4,5,2,8,12,1,10,9,6,7,11,3
R_wZa17g2AtwUVCoh,2,3,1,6,11,12,9,7,5,8,10,4
R_2QSxAw26CFWhxwZ,8,7,3,6,2,9,4,12,5,10,11,1
R_1lAXSebfCqhnjof,2,5,6,9,12,11,10,3,1,8,7,4
R_1pznPPxwqhuHXS9,1,2,4,6,9,5,12,7,8,10,11,3
R_3L8dxT4setCVA4q,6,9,2,5,3,7,12,8,4,11,10,1
R_1llrOUk9pT8Wy76,1,2,4,3,,7,,8,6,,,5
R_1cUtKJL5n3HUP0a,2,4,7,1,9,5,10,8,3,11,12,6
R_2RXmdggZpLZodNN,7,6,2,8,5,12,9,4,3,11,10,1
R_ub8sBrpgi8Y1YpX,2,3,4,7,12,10,9,6,5,8,11,1
R_1mvZC6fFQXE3uaG,6,5,1,3,9,8,12,7,4,11,10,2
R_1Q61e0yexNVSapC,1,10,7,6,11,4,9,8,3,12,5,2
R_vozgEHfhPduezMR,12,1,11,2,6,4,5,10,3,9,8,7
R_2xFQb0vWh76ws62,5,7,2,6,10,9,1,8,3,12,11,4
R_2zju5gvPPXQfadZ,11,6,2,4,5,7,3,9,8,10,12,1
R_8A07BQxEfXQxURz,5,,3,4,8,,6,7,1,,,2
R_2yj9Pt8EmdjywfO,4,,2,5,,,,,1,,,3
R_9SmXBWx4KfDrfNv,8,,7,4,9,1,2,10,6,,3,5
R_1o8fic2Fr2yhTLH,7,4,5,10,12,3,6,11,2,8,1,9
R_2eOkPZ3eZWIRvRb,5,10,7,1,4,9,2,12,8,6,11,3
R_2WPyvVZUjlN0U9e,1,3,2,9,6,10,7,12,5,8,11,4
R_3fUUHEgaCLGfQ6D,2,6,4,7,5,8,9,10,3,12,11,1
R_1es1gLJqf6nVwFc,4,3,2,8,11,9,6,12,5,10,7,1
R_2pQWWvXqnthnLoD,8,2,4,5,1,3,,,6,,,7
R_2YxhP3UOiWV4tr1,2,4,3,5,,,,,6,,,1
R_qF79oEFJXe0xzmp,2,5,4,6,10,7,11,9,1,12,8,3
R_2ykLiusTfr8T6Od,1,7,6,5,9,11,8,2,4,10,12,3
R_1MPWmjSdsqzfFMg,11,5,1,6,4,12,3,10,9,8,7,2
R_25F7623r7Cb8g8Y,2,3,7,4,12,5,9,11,1,8,10,6
R_2dSY012Yot6fVbY,3,5,4,11,7,10,6,9,1,8,12,2
R_1P5liWjGyuMQjhR,12,3,6,1,5,11,2,9,7,8,4,10
R_1pMPcKRXAqhKlim,6,7,5,1,8,3,12,11,2,9,10,4
R_1Q3qhy2jg7QnZfa,1,8,7,4,9,6,12,5,3,10,11,2
R_2rT1oW0M7pnJ4Wc,3,4,2,5,8,10,9,11,7,12,6,1
R_6zXP39Obt4qgLOV,1,2,8,5,12,6,10,9,4,7,11,3
R_3EcM2tIrhw3hvxU,1,4,2,7,12,6,9,10,5,11,8,3
R_URR5WDbSx73pndD,4,3,1,6,9,5,12,8,2,10,11,7
R_wTrwlZVsgaIpMsN,1,7,6,4,5,3,10,9,2,11,12,8
R_296vMEP9ezFM7vv,2,7,4,9,8,12,5,10,3,11,6,1
R_1f7y8WxK85jANiv,9,4,8,12,11,5,10,7,2,1,3,6
R_1IAZkT8TziJkoCR,4,7,2,8,6,5,9,10,3,12,11,1
R_3qdkiQA2DXDNWy9,4,1,6,12,9,8,2,3,11,5,7,10
R_1mC42kT7vuKMa16,4,1,3,12,6,8,10,7,2,11,9,5
R_2R3sPrvoDNHswdc,6,7,3,5,4,11,10,9,1,8,12,2
R_2zBI3jt6ys1ohb5,,6,4,3,1,,7,8,5,,,2
R_3G9F2EKhMi5eOgF,6,12,4,2,9,8,10,7,1,11,3,5
R_ssZVsjcgfpEeA4V,7,8,4,2,5,6,12,11,1,9,10,3
R_vHnKN7lMai5ZgLD,1,3,2,5,11,9,6,7,8,12,10,4
R_3NCVqO4v3h36PTm,12,8,10,1,2,6,5,9,7,4,3,11
R_6tKXXf4r5K5Us5X,7,1,2,4,9,11,6,5,8,10,12,3
R_BKEcSMdQ9SdlcHL,,,,,,,,,,,,1
R_vPQq2odNdGUVzvH,,,1,,,,,,,,,
R_3G8q5LQe3FAzkQf,2,9,11,5,1,10,12,8,7,6,4,3
R_79FaQd1FPtBrHjj,9,2,4,12,8,11,7,6,3,5,1,10
R_1k21y21ZPCVRoif,2,3,5,7,11,6,8,9,4,12,10,1
R_3EQ3zijwW2PzBac,12,7,5,8,3,10,1,6,4,2,9,11
R_2aXOr1jhKauM2ju,2,10,3,7,5,9,8,6,1,12,11,4
R_3qJrJSylVOfcgSW,,,,2,,1,3,,,,,
R_OOxbn02h6LCtgrf,10,12,1,4,6,11,7,8,2,9,5,3
R_dgytt7ZK0r5Qzvj,1,2,7,9,,8,6,3,5,,,4
R_1disyiEvFZWzwXb,10,12,4,3,8,1,11,5,2,7,9,6
R_3nBeEHNf8qnJ18E,9,5,10,2,7,6,4,12,3,11,8,1
R_3rG6NvcsJI0jyBW,6,,3,7,4,,5,,1,8,,2
R_27drhG40Mjk3h7X,1,2,5,,,,,3,,,,4
R_1MSBL9wH8CDiIxT,5,3,2,8,11,9,4,12,6,7,10,1
R_1I6GJptp1P8Axaf,1,6,5,4,7,9,8,10,3,12,11,2
R_2X7fluq2UCXf5pl,2,6,5,7,9,10,4,8,3,12,11,1
R_3sjgWnlDyvCd3ZM,7,3,2,4,5,6,12,9,8,11,10,1
R_1Fgo76wgOgsB9H9,4,2,3,7,11,8,9,1,5,12,10,6
R_2PmRxvidbP5ZLjx,6,1,4,2,10,11,7,3,5,9,12,8
R_zVFSASKeI7cVvwt,3,5,4,9,12,10,11,6,2,7,8,1
R_1OC8oBbGqtLFaOk,9,3,4,1,2,5,8,10,7,12,11,6
R_242AE00c15KxGFt,3,7,4,2,10,9,1,8,5,12,11,6
R_OkfdtPzC8j4tB3H,4,10,7,6,8,2,3,12,1,11,9,5
R_3KJ9nhyDKMxFt6o,3,9,4,6,11,5,8,10,2,7,12,1
R_1Old1cxheUM9fPD,6,9,5,4,7,2,3,12,8,10,11,1
R_1n0eDeixbkP8CPd,6,8,2,3,7,10,4,11,5,12,9,1
R_BGsGgDC7dJU14MF,3,4,2,7,6,12,10,8,5,11,9,1
R_10UygLM4LDUPmZA,5,11,6,3,2,7,1,12,10,8,9,4
R_1DRMI0HjRs2BsJ8,7,5,4,2,10,8,12,6,1,9,11,3
R_1M4jiFkusa2JanO,9,11,10,8,7,6,2,3,1,4,5,12
R_RV3o0M3PEPyzFDP,,,,2,,,,,1,,,
R_3QDgkb3zqSvCv5C,9,10,8,1,4,2,6,11,5,12,3,7
R_2q1mslifU9uW1zs,2,4,5,7,8,6,12,9,1,11,10,3
R_3jcdZktvLANDzDO,2,6,3,5,,,,,4,,,1
R_78MDZvLXQuMYEox,4,5,12,6,2,7,9,8,3,11,10,1
R_1LvxhqirrqptMLD,4,2,3,6,5,10,8,7,9,11,12,1
R_2vdhYc5iWKyvQef,9,8,6,3,4,2,1,10,7,11,12,5
R_8GFdBoB31wz656F,1,6,7,4,12,5,11,8,2,10,9,3
R_29uC6f96xhCbEbA,7,2,5,1,8,11,9,12,3,10,6,4
R_VJzwCBcV3Fw1igN,7,8,11,6,2,12,4,3,1,5,9,10
R_22XpOuTFHAQc2Hx,4,2,3,7,,,,6,1,,,5
R_3nPDYmiFMI80A0H,7,9,10,5,12,6,1,3,4,8,11,2
R_2uP34s7wnda0gHY,8,4,10,7,6,5,9,3,1,12,11,2
R_1DvU58B2fiLV6EK,2,4,,,,6,3,,5,,,1
R_2TtwPsAKRaXH6NT,2,1,4,8,6,10,9,7,3,12,11,5
R_W239y5kBD9TDWG5,8,2,5,3,6,7,11,12,4,10,9,1
R_2ta5woH9sZdMLSi,,4,1,,5,,,,2,,,3
R_vJDqP6Lcad5cPQZ,8,7,4,5,2,9,11,10,1,,6,3
R_2xPI104ZQjvfxkT,5,4,3,2,11,8,10,9,7,12,6,1
R_vkKoArfCSAX4YAV,7,10,2,3,4,5,9,6,12,8,11,1
R_r09H8VidT9jOLcd,8,12,2,11,7,9,4,10,3,6,5,1
R_0xonKo4fPwY4kdr,1,6,2,7,8,9,10,4,3,11,12,5
R_25FUI6e9LhEuBLp,1,7,4,6,12,5,9,10,3,8,11,2
R_3ExIzW0KZWmxb8X,1,12,4,6,7,3,11,9,5,8,10,2
R_3lLxyieWp4ETv0u,1,3,4,2,7,9,10,8,6,12,11,5
R_3NDrxIBHuHIYwmx,7,5,6,12,8,9,3,4,10,1,2,11
R_3h42UCUaEMvmGu7,,,,,,,,,,,,
R_qRDcSgZXcQP1qN3,,,,,,,,,,,,
R_1FFVmkcORrXDVVV,,,,,,,,,,,,
R_1jpNQc0ijEQEFxQ,,,,,,,,,,,,
R_1invXBimxwb59g4,,,,,,,,,,,,
R_AvbaiIU2Zonmc9j,,,,,,,,,,,,
R_RFcajEd1NMThCSt,,,,,,,,,,,,
R_2Vm3dFMOr0MDOAX,,,,,,,,,,,,
R_2y7Md5aOQWIwbmX,,,,,,,,,,,,
R_UmUOrGwZ3drTwGJ,,,,,,,,,,,,
R_3GkyKcTwWOnotTy,,,,,,,,,,,,
R_3jfhap8b8Dqedxg,,,,,,,,,,,,
R_279Z1agOwrR3DZX,,,,,,,,,,,,
R_1LTkId8GYG8sLgT,,,,,,,,,,,,
R_3JpZOqj6nOrD3ZL,,,,,,,,,,,,
R_RRfOTt8Uz0D9tkZ,,,,,,,,,,,,
R_3MgmsBaUBH98kPv,,,,,,,,,,,,
R_1IErYe78NKFBeyW,,,,,,,,,,,,
R_28CbcOqxeZEoFYN,,,,,,,,,,,,
R_UoLT78mLV95BKwN,,,,,,,,,,,,
R_etE27E0foYLJh6N,,,,,,,,,,,,
R_2c2EgZhXMNEx3kA,,,,,,,,,,,,
R_3npe049Bf7dft6M,,,,,,,,,,,,
R_3JkGXkv7KdpJpQi,,,,,,,,,,,,
R_3HunREsScvqS5s5,,,,,,,,,,,,
R_xgujiacXQtIVzcB,,,,,,,,,,,,
R_1OTrNunHi79GeSj,,,,,,,,,,,,
R_2ypSxP5ztXEcbm1,,,,,,,,,,,,
R_1IGb3xoTglIggxD,,,,,,,,,,,,
R_vTwKK8ZaPY15PHj,,,,,,,,,,,,
R_2WUNuPYxVFNqwwb,,,,,,,,,,,,
R_2pLARUfv9KAYvwz,,,,,,,,,,,,
R_1QotQ5x6FFSzqVp,,,,,,,,,,,,
R_1rj1yjBlfseyvBV,,,,,,,,,,,,
R_305YSt1kzzzQQN8,,,,,,,,,,,,
R_3JwHM0KkAM79Rjg,,,,,,,,,,,,
R_3MSCXMiwHzAfDjv,,,,,,,,,,,,
R_2zj4Ckipl3QORpw,,,,,,,,,,,,
R_1oC128mzUKDw8Ca,,,,,,,,,,,,
